slice,signal_type,parent_signal_id,pathway,ligand,receptor,sender_region,receiver_region,downstreamTF,direction
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Foxp2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Mlx,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Zfp202,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Zkscan4,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Fos,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Prdm9,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Zfp93,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Fhl2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Phf1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp2_Plxna4,Fibroblastic,Fibroblastic,Nucb1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Zfp979,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Zfp455,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Zfp273,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Klf15,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Ncoa3,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Zfp382,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Nr2f1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Nfkb2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Id2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Zfp114,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Hsf2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Phf21a,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Alx1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Zfp354c,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Alx4,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Zfp651,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Zfp287,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Crem,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Zbtb3,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp2_Plxna1,Fibroblastic,Fibroblastic,Tcf12,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3d,Nrp1_Plxna3,Epithelial,PalatalMes,,
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna4,PalatalMes,Epithelial,Heyl,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna4,PalatalMes,Epithelial,Alx4,activation
